Gene,Transcript
227604,498134
233206,413190
221677,408750
215881,401043
230300,456087
261258,566592
261258,568527
261258,568842
261258,564196
261258,563183
261258,567782
261258,562005
261258,569402
226903,440860
226903,412119
224924,416768
224924,437238
224924,452561
224924,435279
224924,419299
264989,578654
200072,363202
260385,567967
229520,418660
215351,448832
224243,421423
226771,425058
260102,561786
221210,408283
234730,428205
260343,565936
198434,358086
223626,413637
237527,416182
264726,582601
232684,446442
238265,419069
234603,443849
236581,609233
236581,608539
236581,608315
236581,609061
236581,609615
236581,609137
236581,609995
236581,609108
236581,607944
236581,608205
236581,609167
236581,608175
236581,608803
236581,608197
236581,607935
236581,609608
236581,609335
236581,608060
236581,609588
236581,609536
236581,610218
236581,609063
236581,609343
236581,609788
236581,609997
236581,608695
236581,608628
236581,608496
236581,609351
236581,609790
236581,608981
236581,590747
236581,585861
236581,589800
236581,586727
236581,589816
236581,587441
236581,590997
236581,588966
236581,590003
236581,586424
236581,591781
236581,589472
236581,588660
236581,592544
236581,590434
236581,589122
267868,602192
188403,338912
235280,446789
269356,601559
233997,425979
233997,430060
269376,598534
231882,424635
230371,415696
259490,558565
269125,600642
227075,452500
232662,455730
270961,604642
225083,419199
225083,423246
233215,416327
233215,420255
233215,419467
233613,414992
233613,453584
271317,603326
202347,365477
227208,413535
270783,604950
233695,458001
271197,603077
272695,608651
184856,419431
227911,443576
237699,449453
271336,605284
264288,577451
265259,580757
260753,566412
260753,568367
260753,562460
260753,563359
260753,565508
260753,564463
260753,567084
260753,562554
260753,569139
260753,566226
260753,564142
260753,564002
260753,563411
260753,561597
260753,567013
260753,569519
260753,566913
260753,563216
234340,433524
230490,454681
230490,437698
230490,445227
212051,390762
226921,442500
226921,609861
226921,608044
226921,609493
226921,430978
226921,610194
226921,425483
264365,579347
273321,608010
234535,442716
232986,452207
199636,362766
265094,579049
252397,516588
263663,408071
227254,451853
229373,455857
229373,609661
229373,426859
199196,362326
215405,427390
271850,605909
225179,440160
225179,428706
231136,454567
260910,562710
271901,606365
202339,365469
232487,454005
226043,444130
231910,430917
264539,582191
261728,568811
223488,379571
265450,580432
232795,439854
226158,392050
234835,453244
229723,446989
268343,595502
221519,408592
236036,422430
236036,456848
207203,384474
169861,302092
169861,559480
266047,581522
223383,448609
222602,410670
235306,432112
223543,453620
215486,580773
215486,421226
215486,400435
261631,563585
261631,568725
261631,567347
261631,564462
230031,438063
230031,454856
271337,605569
236711,437983
228825,428620
232378,421928
226161,428062
221100,408173
202395,365525
230283,412619
234034,441759
230390,414480
263796,581405
199276,362406
225906,438328
228036,420325
230972,421604
259896,569845
223685,434565
223685,454060
223685,451826
219368,406845
236354,414161
231058,445341
229437,441430
223078,411146
234701,447765
228592,262354
252795,516986
212049,390760
270824,604446
225350,448887
225221,424744
270451,603693
235550,445530
223822,447052
271255,603935
214823,458481
271305,604102
238408,459206
216014,401195
264171,583252
237569,425085
200526,363656
224351,418361
138593,561428
138593,559471
138593,261847
138593,380927
138593,559122
138593,559198
138593,561203
138593,557940
138593,559424
138593,558461
138593,557923
270444,603479
212553,391251
270185,604838
230710,455241
271429,605218
207458,384727
268531,594169
230058,400432
252812,517003
215483,400430
215483,400431
215483,542632
229456,339626
211491,390157
207652,384919
168852,458118
168852,432905
168852,379515
168852,456963
233917,435397
233917,439682
233917,553662
233917,570157
166157,298232
166157,361285
166157,342420
166157,447568
166157,415664
166157,328758
260245,564506
260245,567793
176268,458172
239827,604259
239827,304932
229473,423358
264226,577639
199698,362828
244264,491551
227716,433101
215482,400429
231986,441465
238651,458837
225133,450245
235564,447405
231404,416129
226996,415269
226996,434859
264695,583122
223280,411348
224018,448063
266489,581648
214222,454403
224832,416218
266181,578499
205240,419933
237484,453784
237484,423581
237484,415182
265485,577994
265485,583558
234655,412208
234655,422155
263553,578490
266520,578535
215480,421076
266809,579571
263907,584422
266573,577354
266573,582650
266573,583794
263928,582215
264042,582164
264190,583027
241406,463999
206962,384235
264345,580984
264345,582697
229696,451871
229248,427605
226093,435020
231530,413246
265552,578129
237263,403865
264434,580645
265679,582753
242216,486780
270809,604283
264193,583887
234213,442741
243925,468051
260703,569427
260703,561994
260703,569541
260703,565052
233259,453169
233259,458199
188985,579682
188985,307796
271216,604485
229546,415620
266227,578162
238025,396712
256715,540061
263829,578364
229928,425609
232540,430744
266237,580975
238189,434273
252921,517112
233821,444442
264911,582910
270522,604480
207160,384431
263862,578367
166351,299443
252846,517037
233725,585327
233725,439707
233725,587571
233725,592085
233725,591799
233725,423211
233725,609808
263846,584883
260283,562963
260283,564914
260283,563912
260283,567931
260283,569092
269011,596508
260372,582605
260372,579964
260372,578701
260372,568797
179611,378718
179611,325496
168675,590371
168675,587905
168675,590115
168675,399848
168675,359446
168675,586222
168675,593236
168675,587600
168675,586207
168675,587440
168675,592657
168675,587757
168675,585931
168675,590308
168675,586765
168675,592812
168675,361303
168675,435606
168675,592991
168675,361205
226519,432331
227258,444663
227258,437867
265369,579458
265369,391065
235285,415082
263677,583852
230731,421190
263382,584560
237361,432701
237361,607312
266184,583051
266549,580510
225727,426579
225727,422303
265374,583148
262684,572436
262684,577172
230793,412207
188992,344577
188992,400211
188992,536861
238932,459558
237585,426509
235097,414562
223732,437748
265802,581392
223341,411409
271818,606815
252055,516246
270381,605137
221163,408236
253051,517242
199477,362607
273149,610057
185272,468643
185272,468788
185272,495055
185272,461088
185272,400577
185272,475864
182974,332663
226983,441009
260770,562265
260770,569286
260770,561861
260770,568696
260770,569942
260770,564164
260770,570113
260770,563097
260770,563653
260770,567362
183706,328795
170919,517509
170919,412946
170919,520622
170919,520590
170919,523506
170919,521336
170919,522859
170919,524062
170919,520310
170919,520924
170919,521507
170919,523445
170919,522845
170919,434849
170919,520585
170919,522673
170919,519454
170919,520432
170919,330825
170919,379050
227090,446404
230379,454182
230379,441666
230379,444178
270505,604066
269182,599120
259261,557788
237444,423389
244278,424017
155304,285667
155304,478035
155304,544452
260320,564742
260320,565175
260320,565920
260320,568066
228886,420693
214455,398357
214455,545120
251015,506633
229303,420177
200709,363839
197414,560659
197414,316397
232786,428659
228869,447446
235366,435067
232512,453802
232512,418942
232512,410635
237876,426552
260178,563880
260178,563345
260178,565015
223870,426609
235903,606351
235903,606243
235903,606991
235903,415033
222042,409758
238627,410986
240767,490496
238483,459016
252854,517045
251106,510179
261097,566370
223336,411404
252385,516576
166200,560240
166200,388901
166200,299259
166200,542928
166200,558843
166200,561248
166200,559016
166200,558545
155307,400564
155307,400566
155307,285670
155307,463807
155307,493640
241353,424051
241353,535073
259958,564173
259958,567939
243440,435732
243440,400562
243440,469393
243440,467280
231817,598084
231817,416521
231817,458282
231817,593640
231817,599175
231817,595532
231817,594428
231817,594153
231817,598822
227019,400428
205105,378775
205105,535895
260325,565659
230243,423650
224517,455126
224517,452352
224517,430913
234590,420444
244521,496982
234145,432820
229423,424277
261378,565751
261378,570252
261378,568002
261378,567952
261378,563870
261378,562910
261378,569640
261378,564151
228573,417987
153575,283645
153575,453949
153575,558664
153575,559846
153575,561214
153575,559534
153575,558915
234689,435617
260388,566385
227848,423869
263172,573654
229111,422483
262688,572049
266571,583330
224510,438155
260752,566311
231473,433480
231473,436963
264151,584546
264151,582108
264151,580699
264151,582893
264151,580883
238086,474415
238086,599544
177197,452246
233456,452288
180530,400199
180530,400202
180530,411932
180530,318948
233610,425350
264790,584547
222391,410459
225131,453033
225131,419812
244329,483523
265585,580512
201662,364792
263611,584566
223724,451754
265097,578589
199788,362918
235957,446556
263405,577406
231665,447552
227279,423367
236577,435400
137824,260385
137824,560588
137824,558777
137824,338376
137824,557831
137824,558232
137824,560779
137824,558560
137824,560460
137824,558364
137824,560905
266296,584680
176882,451812
176882,316159
261371,563924
261371,568702
261371,566422
261371,564866
261371,563523
261371,561739
261371,566616
261371,569967
261371,569530
265994,582726
203547,366359
271238,603176
222148,410216
181358,318353
251719,515910
265730,580562
200064,363194
212085,390796
264526,579259
264864,579844
266479,581934
259458,558940
259458,560347
265980,577674
221731,408804
264587,584482
264587,581532
266196,583089
265670,583580
251702,515893
261521,568243
231607,425586
231607,458725
231607,433070
231607,443587
231607,421758
231607,449579
231607,607334
231607,235290
238376,459603
238660,459545
265888,581836
213885,425147
263698,582307
185433,441013
185433,332587
185433,440205
185433,439840
266729,581856
266729,578119
266729,578477
266729,581452
238314,459023
229962,419694
208006,385271
207019,384292
214359,425606
234883,456917
234883,385060
207240,384511
266521,580937
232150,495613
260583,567517
264859,583706
264859,579251
237731,420965
223676,445636
227054,450769
263304,571603
263304,580250
263304,583625
263304,585046
252379,516570
221198,408271
235514,436405
229323,428276
259985,565978
200472,363602
137880,260447
137880,561160
137880,558670
137880,559445
137880,559932
137880,558467
265158,583900
265158,585232
233783,456904
233783,596385
233783,599572
233783,597894
233783,600590
233783,596669
263772,584628
237152,413510
251972,516163
263924,582269
200711,363841
224541,455275
270518,604384
270879,605421
273492,608591
273492,609365
222320,410388
233672,596992
233672,454605
233672,593750
233672,593369
233672,601286
233672,594244
263823,580420
206802,384075
265273,581802
229025,435878
266105,582538
232692,429340
232692,452460
232692,421771
232692,444306
263917,583184
265063,582018
214917,484967
265008,582233
238982,459168
262917,581838
262917,573512
262917,579744
262917,583045
262917,580137
262917,582952
262917,578436
262917,583923
262917,579819
262917,585235
263393,583138
199373,362503
265279,580789
263904,581134
222395,410463
264982,579580
215492,521273
215492,400448
260389,567636
260389,562560
104129,220496
104129,561110
104129,559238
104129,558727
104129,560645
104129,560065
104129,561018
104129,559310
104129,560301
104129,558769
104129,561044
221621,408694
177150,322247
177150,585785
177150,588475
177150,589346
177150,592976
177150,591269
177150,402563
263688,578349
123201,493639
123201,533288
123201,485590
123201,531898
123201,389600
123201,532104
123201,537462
155313,285679
155313,351097
155313,285681
155313,547201
155313,549362
155313,464435
155313,453553
155313,449491
155313,478932
155313,400183
197934,414486
197934,357401
273115,608410
223563,426771
266133,584048
215326,429271
231236,420186
236332,447384
222920,410988
226792,563710
226792,433280
226792,569306
214878,399168
271242,605362
263077,570644
263077,574715
263077,576550
263077,582032
263077,577776
263077,584452
263077,580373
263077,584448
263077,582247
263077,579418
263077,579166
263077,577338
263077,578316
263077,582001
263077,579675
263077,578797
263077,585209
263077,584543
263077,577555
263077,580202
266072,577722
269965,602881
270101,602636
101638,315087
101638,590497
101638,538168
101638,536490
101638,587428
101638,589088
101638,591375
101638,588155
101638,590488
236778,595435
236778,593672
236778,596050
236778,594959
236778,595424
236778,598905
236778,593709
236778,434512
236778,595997
236778,593928
236778,601572
236778,594358
236778,594604
236778,594488
236778,598864
236778,600477
236778,593429
236778,596180
236778,596303
236778,597745
236778,602089
236778,599315
236778,601318
236778,601034
236778,610018
236778,608520
232560,440664
265146,577312
262931,574193
224892,596904
224892,595905
224892,427198
243900,484133
229906,411777
266611,577728
263046,577141
263046,582945
263046,574247
263046,581883
263046,582061
263046,583769
263046,583304
263046,572101
252141,516332
206920,384193
242893,482700
224451,433775
231856,456688
232872,454280
236044,439042
261138,566886
217576,451298
239823,497848
265031,581165
266804,583033
261387,566865
265387,584521
154639,284878
154639,400166
154639,356275
154639,400165
154639,400169
154639,306618
265492,581629
263516,579747
243406,416599
243406,607588
243406,606974
243406,423686
243406,606619
101654,543302
101654,383314
101654,588457
101654,592764
101654,591746
101654,589866
101654,588417
101654,593007
101654,591922
101654,262173
101654,535051
261074,561576
261074,568217
78043,585916
78043,398654
78043,545673
78043,324794
78043,592212
78043,590127
78043,592011
78043,591865
78043,589819
78043,589917
78043,586953
78043,592221
78043,587810
78043,586170
78043,586634
78043,590944
272281,605924
272281,606973
272281,403471
272281,608790
272281,606043
272281,605936
272281,606711
156958,559883
156958,559963
156958,327171
156958,560654
156958,558775
156958,561074
156958,559040
156958,560031
156958,396509
156958,558956
156958,559208
156958,559095
156958,558145
156958,560119
156958,544523
156958,560138
156958,559423
156958,559454
156958,561014
156958,558399
156958,559580
156958,560528
156958,543495
260220,569961
260220,563590
260220,565954
266342,585255
154640,339775
154640,348354
154640,471860
154640,496601
154640,464058
154640,457956
233300,420241
271236,604285
217026,447844
219592,406229
234052,426418
261183,565315
261183,564302
261183,568419
261183,568525
261183,563217
188277,344320
249139,504988
225298,411460
225298,425376
225298,442550
264256,582049
260587,564093
251161,503052
234083,433344
259405,560114
178457,324988
259617,561388
259463,558101
232079,426534
232079,458316
232079,423808
232079,436878
232079,609782
259521,558967
259521,560178
259880,566546
259880,563163
259880,562728
259880,567364
259547,558168
158901,357199
158901,289953
140416,288398
140416,560975
140416,358278
140416,560445
140416,403994
140416,561425
140416,558314
140416,357980
140416,558347
140416,559556
140416,559397
140416,267996
140416,560970
140416,561266
140416,559831
140416,334895
140416,404484
140416,558544
140416,558868
140416,560959
140416,559281
140416,317516
140416,560615
140416,560679
140416,558264
140416,558400
140416,561395
140416,561242
140416,558072
140416,559108
140416,558910
140416,560131
157021,528023
240847,476341
259956,563281
180205,326000
154642,284881
154642,400559
154642,400558
154642,405964
154642,493464
154642,482915
247556,558457
247556,558945
247556,500949
247556,561275
247556,559368
247556,560706
247556,560545
247556,561226
247556,557993
247556,501665
260383,569672
260383,566817
260383,562181
260383,564535
260383,563621
260383,568089
260383,562720
260383,566962
260383,564799
243355,485809
263765,583612
263765,582239
263765,578782
263765,579160
263765,580366
263450,580071
267642,591558
199204,362334
267746,587528
267585,586960
268873,596954
221409,408482
268573,586922
257267,399070
257267,465539
257267,540308
239683,474156
267583,593122
267583,591141
267583,586741
266965,593078
267397,590983
140577,420329
140577,560098
140577,561218
140577,268184
140577,558619
140577,560927
140577,561119
140577,558005
140577,561290
140577,558496
140577,561255
140577,560047
140577,560320
140577,558167
267797,587407
207797,385062
261236,569669
261236,568812
261236,569403
261236,569160
261236,563210
261236,569712
265641,584497
166140,570108
166140,564258
166140,355341
166140,336455
166140,299173
166140,568062
166140,563530
166140,566407
166140,567756
166140,561617
166140,569057
166140,561768
166140,560078
166140,566767
166140,570162
166140,563497
267627,586982
267627,589074
260552,568654
267404,589678
267456,593113
101138,498689
101138,415828
101138,217109
101138,428552
101138,452950
101138,493039
101138,490539
252078,516269
267039,586106
267651,589715
154645,400128
154645,400131
154645,400135
154645,400127
154645,299295
154645,543733
154645,338326
260623,566027
260623,563997
260623,568533
260623,562688
260623,564971
267707,589281
267202,588766
267202,586610
266530,580543
243516,467028
268566,597142
268566,597906
268566,598549
222704,410772
253038,517229
271564,603464
260428,567180
267374,591629
267374,591469
199605,362735
235660,443679
180305,372643
175886,588490
175886,321566
244471,418237
244471,446689
259396,559959
266148,580941
200407,363537
68793,561185
68793,313077
68793,561274
68793,560848
68793,558430
68793,559393
68793,557859
68793,558549
68793,435939
68793,558826
68793,561296
68793,561020
68793,557890
68793,561263
259838,566760
212354,391052
267413,585822
180083,356562
180083,324384
198384,441562
198384,427445
260926,565259
260926,607505
261715,566101
207766,385032
267664,586289
270702,605661
238333,459079
260814,607504
260814,562063
250379,510176
250379,512295
182931,330523
182931,335769
265557,581649
267313,600644
267313,592302
267313,595135
267313,601445
267313,601523
267313,596923
267313,593577
267313,600183
267313,599934
154646,284885
154646,422787
154646,474775
200293,363423
264850,582950
259792,562716
174171,309874
174171,564432
174171,568861
174171,562920
168634,305479
221476,408549
199633,362763
267652,588959
272003,605942
225253,457751
260988,566715
259883,564168
149651,279058
267088,591187
246740,499478
259708,559954
259708,558971
257797,552704
272418,558192
259562,560331
261132,568392
261132,570268
261132,567628
261132,565865
261132,567506
261132,563524
261132,570180
261132,565491
261132,566941
261132,562004
261132,562195
261132,562323
261132,563309
261132,564427
259322,560057
259413,558606
259474,560094
261762,567141
267586,601948
267586,593234
267586,585627
267586,591199
267586,586990
267586,593051
267586,593316
267586,591381
267586,585639
267586,589068
267586,586447
259555,559120
261443,562723
261443,565618
261443,570228
261443,567318
261443,565529
101365,466494
101365,492240
101365,488299
101365,474315
101365,380851
101365,380843
101365,477689
101365,466999
101365,479376
101365,462967
101365,491065
250299,509685
261303,569846
261303,565476
261303,564933
261303,568337
261303,570227
167216,592005
167216,585469
167216,245121
167216,356157
167216,585383
167216,588433
167216,586198
167216,591522
124116,481847
124116,337205
124116,243938
124116,474942
124116,372632
124116,372630
124116,471401
124116,493693
124116,487343
124116,462017
124116,467679
124116,490877
124116,465935
211579,390224
150276,377951
237092,417989
225510,428983
87589,360314
87589,434344
87589,497244
87589,371336
241613,477850
220990,408063
213307,494933
261517,569422
238166,434914
238166,566323
234787,423442
234787,606055
234787,427299
234787,607494
234787,606706
234787,451744
243711,482506
236532,453420
236532,433303
236532,437194
271652,605764
252061,516252
207712,384979
177699,316148
136149,484130
261002,563846
261002,561800
154654,400546
154654,486367
154654,461281
154654,484983
154654,284894
154654,535285
239022,459291
266699,584726
232855,433310
232855,430247
232855,452028
260571,562290
264387,583098
228611,430567
228319,431223
226935,412526
226935,455939
238455,459611
259234,560872
259234,559225
259234,560533
259234,560732
259234,559979
259234,560452
259234,557790
259234,558297
201665,364795
271140,603320
251894,516085
230009,442543
215005,447985
166143,299174
166143,427255
234421,418448
215317,400014
176054,320371
207695,384962
258461,483208
258461,549793
258461,466369
258461,495723
273254,608809
259419,560385
225352,457065
231125,457162
202422,365552
266543,581752
232954,454780
232687,412942
261712,561560
201984,365114
222733,410801
212479,391177
214335,435601
259493,560593
224649,430001
261698,565657
261698,566444
261698,564602
261698,565392
261698,567463
261698,561737
261698,569868
223717,425106
259208,560719
214281,398005
166262,559573
166262,299338
166262,560557
166262,561064
166262,559351
166262,561319
166262,558615
166262,558579
166262,558594
166262,561116
166262,559905
166262,560246
166262,558862
166262,557892
232647,449146
215533,447125
215533,420364
215533,431661
215533,545936
260674,561747
271190,603596
239003,458752
213527,493002
227528,435636
227528,422052
227528,432995
265745,492442
223815,428656
176136,589410
176136,324750
226332,414042
202151,365281
227336,423739
265329,577688
238213,448913
212054,390765
228812,456721
228812,477848
228812,478167
228812,487421
223076,411144
236608,448133
229207,419794
225249,413402
225249,455894
185231,327606
185231,399821
207032,384305
233017,433121
251697,515888
206854,384127
272050,606283
230729,439960
103642,261893
103642,413507
103642,557972
103642,559782
253018,517209
260542,569373
227510,414201
232983,441226
266663,578032
236056,450472
212007,390718
234033,427086
174403,412495
174403,475015
174403,436101
237159,436360
237159,453642
237159,438244
237159,454187
248476,504298
270856,605514
229578,432697
197299,355112
197299,560509
197299,559724
197299,559282
197299,558599
197299,559426
197299,560136
197299,560559
197299,558825
197299,560821
273017,609910
199017,362147
230142,455977
261215,564224
207764,347538
230074,434627
226094,441388
227611,422527
253040,517231
202250,365380
229307,431656
264490,583223
264490,593307
267716,589621
154719,352957
154719,307301
154719,419219
257198,399773
257198,455647
257198,378786
232105,443577
202060,365190
232121,427132
267573,592443
229882,418953
261678,569446
271465,603451
267337,587877
267337,591487
228669,448411
228669,438352
232803,451648
232803,411824
232803,433126
267414,592638
227564,439454
187791,340783
187791,603640
187791,603592
187791,604781
265957,577285
175322,592345
175322,589203
175322,587419
175322,592049
175322,592411
175322,591393
175322,589498
175322,590202
175322,588435
175322,587512
175322,586507
175322,591987
231061,444536
231061,451570
267101,589845
267101,587276
237687,435412
215430,400303
223669,430184
237378,418943
101160,217131
101160,503833
101160,488395
101160,472025
228705,412500
267097,586330
267097,585759
267097,592899
267097,592286
178723,324731
202478,365608
229873,431361
261587,561638
261587,565365
261587,562628
261587,562477
22277,23939
22277,395881
22277,484084
22277,449062
22277,487211
22277,466260
22277,477485
22277,477573
22277,357348
22277,435342
213232,393023
215199,399764
233838,486648
233838,502378
233148,417620
241568,481467
219926,450029
219926,607822
219926,606050
266988,586386
266988,585897
266988,590257
266988,588517
236527,430209
234181,431804
232118,449923
215198,439134
215432,400311
228817,608072
228817,436529
267354,587369
272259,606208
272259,607802
272299,606894
259229,560455
266968,590535
239171,459184
237849,431953
234293,429843
252995,517186
267193,589510
267193,586213
166145,562057
166145,344051
166145,568823
166145,563656
166145,568580
166145,566928
166145,564375
166145,569589
166145,563135
166145,566642
166145,568200
166145,431806
227674,456627
273464,608759
259548,560760
125514,414668
125514,370341
125514,456634
261229,567415
267558,587507
214269,441282
222179,410247
174680,455392
174680,309331
174680,423221
174680,412579
174680,413131
259770,557880
237119,455711
267293,591191
252034,516225
271364,603605
214266,397973
251939,516130
231133,608031
231133,447910
240983,490739
180725,318816
179766,430846
179766,439972
179766,329395
179766,423138
179766,417941
259981,565564
251881,516072
270112,602329
270112,602333
227342,451410
236565,455201
236565,434355
225978,433161
225978,459583
259967,568836
221685,408758
225267,430538
267167,586478
259417,560778
234767,437777
260416,567259
267587,587732
263581,579776
231977,423020
263561,581678
266957,592747
207598,384866
235737,452879
267724,591183
88881,449079
88881,497450
88881,342725
88881,609451
88881,609967
88881,469215
88881,463145
88881,491472
88881,481662
88881,477287
88881,380648
266463,579556
259361,558913
259361,558244
259361,561432
259361,558578
234527,430861
266104,582203
238500,459343
222439,410507
228842,419371
203900,370257
203900,428531
244213,434138
225263,434073
235619,450395
233840,456459
227852,430795
226390,436263
214263,433498
263892,578933
201077,364207
230226,458368
231393,457044
230040,415120
261684,564805
101162,217133
227933,428948
271287,605312
232442,449500
232442,411579
261822,561902
261822,567089
269900,602361
269900,363046
227969,427761
140285,267843
140285,560270
140285,560765
140285,560979
140285,560704
231667,442229
260490,569826
243136,471800
229299,447343
229299,433905
228843,425499
226537,437705
260282,563883
183206,511306
183206,358970
183206,389891
258010,548231
258010,594607
231208,435912
227388,574939
227388,431981
234765,457883
199805,362935
239025,459502
216141,401322
263448,582432
246283,567456
246283,500850
259175,558208
229910,433537
216195,401376
236083,417104
101457,372622
101457,449078
101457,456939
101457,415790
101457,435014
101457,467701
215946,401127
260799,562022
233659,436704
266996,591973
236433,435890
272045,607800
254793,534629
154721,400532
154721,480456
154721,460679
154721,492962
154721,477351
154721,471689
154721,312957
154721,425221
235387,443779
207554,384823
230405,435639
205871,487100
205871,382175
211588,390233
231518,433838
230750,441308
229824,424532
260928,561636
261042,565673
261042,565816
261042,562273
261042,561937
261042,567208
261042,563713
261042,566505
261042,567429
261042,565779
261042,570171
261042,565093
261042,566207
196421,444463
196421,431158
196421,463337
196421,358393
225639,436071
267800,588843
124172,243997
124172,395663
124172,395659
234298,451265
243671,463259
235036,456064
235036,261752
261687,565685
201825,364955
232380,411421
270408,488480
202211,365341
213866,444752
267761,598649
267761,586905
267761,600127
225501,457792
261679,567898
185088,559763
185088,330964
185088,462430
185088,455271
185088,482846
185088,411926
185088,439025
237371,455524
237534,433664
270792,605292
270792,603462
270792,603180
270792,603985
260406,564058
179443,433495
232852,447359
235221,431686
243871,468140
266582,584505
183791,330682
222398,410466
224640,424058
238535,459277
261307,565127
273463,320491
224961,417299
206991,384264
149656,279067
149656,445252
149656,425473
228307,447226
224677,428073
207495,384764
267156,592307
234900,418690
270919,603875
232314,458195
267187,586404
236110,422137
232900,448859
266542,583188
222139,410207
267541,591258
222760,410828
271983,607458
230223,414504
230223,424524
217809,406588
269365,599498
